Date,Open,High,Low,Close,Adj Close,Volume
2019-09-09,36969.48047,37244.07813,36784.46875,37145.44922,37145.44922,25300
2019-09-11,37251.03125,37343.46094,37193.57031,37270.82031,37270.82031,36700
2019-09-12,37330.46875,37435.14844,37048.67188,37104.28125,37104.28125,27500
2019-09-13,37175.85938,37413.5,37000.08984,37384.98828,37384.98828,34300
2019-09-16,37204.55859,37302.05859,37028.94141,37123.30859,37123.30859,19900
2019-09-17,37169.46094,37169.55859,36419.08984,36481.08984,36481.08984,20500
2019-09-18,36621.37891,36712.98828,36465.92188,36563.87891,36563.87891,25400
2019-09-19,36613.92969,36613.92969,35987.80078,36093.46875,36093.46875,31700
2019-09-20,36214.92188,38378.01953,36085.73828,38014.62109,38014.62109,61000
2019-09-23,38844,39441.12109,38674.03906,39090.03125,39090.03125,2800
2019-09-24,39135.28125,39306.37109,38913.05859,39097.14063,39097.14063,30600
2019-09-25,39087.19922,39087.19922,38510.96875,38593.51953,38593.51953,28800
2019-09-26,38700.48047,39158.07031,38676.10938,38989.73828,38989.73828,33200
2019-09-27,39003.12891,39107.37109,38782.60156,38822.57031,38822.57031,39200
2019-09-30,38873.12109,38873.12109,38401.08984,38667.32813,38667.32813,49000
2019-10-01,38813.48047,38923.78125,37929.89063,38305.41016,38305.41016,75400
2019-10-03,38137.87109,38310.92969,37957.55859,38106.87109,38106.87109,59200
2019-10-04,38401.48828,38403.53906,37633.35938,37673.30859,37673.30859,52900
2019-10-07,37853.80078,37919.46875,37480.53125,37531.98047,37531.98047,40400
2019-10-09,37628.05078,38209.83984,37415.82813,38177.94922,38177.94922,36400
2019-10-10,38130.23047,38130.23047,37802.92969,37880.39844,37880.39844,27300
2019-10-11,37994.48047,38345.41016,37737.85156,38127.07813,38127.07813,39400
2019-10-14,38208.23828,38513.69141,38066.12891,38214.46875,38214.46875,28500
2019-10-15,38316.48828,38635.19141,38238.26953,38506.08984,38506.08984,26200
2019-10-16,38637.05078,38666.37891,38416.67188,38598.98828,38598.98828,27500
2019-10-17,38647.44141,39104.69141,38557.42969,39052.05859,39052.05859,47100
2019-10-18,39087.82813,39361.05859,38963.60156,39298.37891,39298.37891,42400
2019-10-22,39233.39844,39426.46875,38924.85156,38963.83984,38963.83984,54500
2019-10-23,39063.83984,39196.67188,38866.07813,39058.82813,39058.82813,41000
2019-10-24,39223.01172,39327.14844,38840.76172,39020.39063,39020.39063,36600
2019-10-25,39201.67188,39241.60938,38718.26953,39058.05859,39058.05859,48600
2019-10-27,null,null,null,null,null,null
2019-10-29,39293.48828,39917.01172,39254.12109,39831.83984,39831.83984,50500
2019-10-30,40055.62891,40178.12109,39805.10938,40051.87109,40051.87109,37200
2019-10-31,40211.98828,40392.21875,40054.89063,40129.05078,40129.05078,87900
2019-11-01,40196.07031,40283.30078,40014.23047,40165.03125,40165.03125,57000
2019-11-04,40293.85156,40483.21094,40186.28906,40301.96094,40301.96094,62600
2019-11-05,40445.67188,40466.55078,40053.55078,40248.23047,40248.23047,45400
2019-11-06,40311.85156,40606.91016,40037.53125,40469.78125,40469.78125,37700
2019-11-07,40625.64063,40688.26953,40421.07031,40653.73828,40653.73828,30200
2019-11-08,40630.55859,40749.32813,40263.94141,40323.60938,40323.60938,42600
2019-11-11,40316.5,40417.44141,40150.96875,40345.07813,40345.07813,29500
2019-11-13,40346.42969,40447.17188,40061.23047,40116.05859,40116.05859,37700
